,Unnamed: 0,scaled_input_duration_in_month,scaled_input_credit_amount,scaled_input_installment_as_income_perc,scaled_input_present_res_since,scaled_input_age,scaled_input_account_check_status,scaled_input_credit_history,scaled_input_purpose,scaled_input_savings,scaled_input_present_emp_since,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_property,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,scaled_input_default,origin_input_duration_in_month,origin_input_credit_amount,origin_input_installment_as_income_perc,origin_input_present_res_since,origin_input_age,origin_input_account_check_status,origin_input_credit_history,origin_input_purpose,origin_input_savings,origin_input_present_emp_since,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_property,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,origin_input_default,scaled_adv_duration_in_month,scaled_adv_credit_amount,scaled_adv_installment_as_income_perc,scaled_adv_present_res_since,scaled_adv_age,scaled_adv_account_check_status,scaled_adv_credit_history,scaled_adv_purpose,scaled_adv_savings,scaled_adv_present_emp_since,scaled_adv_personal_status_sex,scaled_adv_other_debtors,scaled_adv_property,scaled_adv_other_installment_plans,scaled_adv_housing,scaled_adv_credits_this_bank,scaled_adv_job,scaled_adv_people_under_maintenance,scaled_adv_telephone,scaled_adv_foreign_worker,origin_adv_duration_in_month,origin_adv_credit_amount,origin_adv_installment_as_income_perc,origin_adv_present_res_since,origin_adv_age,origin_adv_account_check_status,origin_adv_credit_history,origin_adv_purpose,origin_adv_savings,origin_adv_present_emp_since,origin_adv_personal_status_sex,origin_adv_other_debtors,origin_adv_property,origin_adv_other_installment_plans,origin_adv_housing,origin_adv_credits_this_bank,origin_adv_job,origin_adv_people_under_maintenance,origin_adv_telephone,origin_adv_foreign_worker,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction,eval_L1,eval_L2,eval_Linf,eval_Sen,eval_Mahalanobis,eval_Sparsity,eval_Neighbour_Distance
0,0,0.2058823529411764,0.1617695609111918,0.3333333333333333,0.3333333333333333,0.0892857142857143,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,18.0,3190.0,2.0,2.0,24.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,0.33382043,0.19124219,0.32885385,0.32816106,0.005533971,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,26.69979,3725.6355,1.9865615,1.9844831,19.309902,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,0.0770938396453857,N,N,Y,N,Y,0.2508142061000127,0.15587802960225172,0.1279380770588236,0.26991486111891355,0.03162396373693909,5,0.15587802960225167
1,0,0.2058823529411764,0.2272477165181028,0.6666666666666667,1.0,0.2857142857142857,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,N,18.0,4380.0,3.0,4.0,35.0,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,N,0.32228932,0.2624951,0.693274,1.0,0.19781968,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,25.915674,5020.586,3.079822,4.0,30.077902,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,0.0770938396453857,Y,Y,N,N,Y,0.2661562895883397,0.1524020076079538,0.11640696705882358,0.27748112844219236,0.031864317673933565,4,0.15240200760795378
2,0,0.2941176470588235,0.1141740948607901,0.3333333333333333,0.6666666666666667,0.2321428571428571,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,Y,24.0,2325.0000000000005,2.0,3.0,32.0,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,Y,0.1752938,0.15400787,0.27328154,0.6539534,0.2681738,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,15.919978,3048.939,1.8198447,2.9618602,34.017735,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,0.0770938396453857,N,Y,N,Y,Y,0.26745362505517634,0.14412463407329668,0.11882384705882348,0.259897488415373,0.03215771253517872,5,0.14412463407329662
3,0,0.1176470588235294,0.0576097722020468,0.6666666666666667,1.0,0.0714285714285714,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,N,11.999999999999998,1297.0,3.0,4.0,23.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,N,0.24070373,0.09768425,0.67419434,0.99736905,0.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,20.367853,2025.3136,3.022583,3.9921074,19.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,0.0770938396453857,Y,N,N,N,N,0.2447183437363285,0.1480355925845371,0.12305667117647061,0.2661816837465433,0.03035475839957093,5,0.1480355925845371
4,0,0.4264705882352941,0.385330692197645,0.6666666666666667,0.3333333333333333,0.2857142857142857,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,33.0,7253.0,3.0,2.0,35.0,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,0.50683534,0.44426468,0.6635009,0.30673677,0.19231248,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,38.4648,8324.066,2.9905026,1.9202102,29.7695,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,0.0770938396453857,Y,N,N,N,N,0.2624628752813467,0.13918694196982664,0.09340180571428569,0.2746416194379079,0.03172668960862278,5,0.13918694196982667
5,0,0.2941176470588235,0.1174204908110487,1.0,1.0,0.8035714285714286,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,Y,24.0,2384.0,4.0,4.0,64.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,Y,0.17951097,0.06384131,0.9962859,0.9965646,0.8536501,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,16.206745,1410.2521,3.9888577,3.989694,66.804405,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,0.0770938396453857,N,N,N,Y,N,0.2254140292984436,0.13615758842925105,0.11460667705882349,0.2514129612127774,0.02832157805563217,5,0.13615758842925108
6,0,0.0294117647058823,0.1026741498844503,0.3333333333333333,0.3333333333333333,0.3928571428571428,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,5.999999999999999,2116.0,2.0,2.0,41.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.10973605,0.15966149,0.35310492,0.34146783,0.26962894,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,11.462051,3151.688,2.0593147,2.0244036,34.09922,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,0.0770938396453857,Y,N,N,N,N,0.2884459116001436,0.15919115363673578,0.12322820285714281,0.30032552724724415,0.03264190917678258,5,0.1591911536367358
7,0,0.1176470588235294,0.018432926158248,1.0,1.0,0.0178571428571428,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,N,11.999999999999998,585.0,4.0,4.0,20.0,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,N,0.2476137,0.049055636,0.9795935,0.9802064,0.0,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,20.83773,1141.5372,3.9387808,3.9406192,19.0,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,0.0770938396453857,Y,Y,N,N,Y,0.21864659387536536,0.1376813987834813,0.1299666411764706,0.22529600611966485,0.028680751024967675,5,0.1376813987834813
8,0,0.0735294117647058,0.1830637173984813,0.0,0.3333333333333333,0.125,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,N,9.0,3576.9999999999995,1.0,2.0,26.0,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,N,0.12170984,0.25479048,0.0,0.28490615,0.06129141,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,12.276269,4880.5625,1.0,1.8547184,22.43232,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,0.0770938396453857,Y,N,N,N,N,0.2320429641701462,0.11777121322131029,0.0717267626015187,0.23575145205203038,0.03000932934762529,4,0.1177712132213102
9,0,0.338235294117647,0.4601628700341146,0.3333333333333333,0.3333333333333333,0.1428571428571428,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,N,27.0,8613.0,2.0,2.0,27.0,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,N,0.41263387,0.5169744,0.30308816,0.3025946,0.06820339,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,32.0591,9645.492,1.9092646,1.9077837,22.81939,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,0.0770938396453857,Y,N,N,N,N,0.2668477653720478,0.12726162454936457,0.07465375285714279,0.26349625912885843,0.03206122753695893,5,0.12726162454936457
